HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Cameroun,Kenya,1972,2,1,3
Mali,Togo,1972,3,3,6
Mali,Kenya,1972,1,1,2
Cameroun,Togo,1972,2,0,2
Togo,Kenya,1972,1,1,2
Cameroun,Mali,1972,1,1,2
Congo,Maroc,1972,1,1,2
Zaïre,Soudan,1972,1,1,2
Maroc,Soudan,1972,1,1,2
Zaïre,Congo,1972,2,0,2
Maroc,Zaïre,1972,1,1,2
Congo,Soudan,1972,4,2,6
Cameroun,Congo,1972,0,1,1
Zaïre,Mali,1972,3,4,7
Cameroun,Zaïre,1972,5,2,7
Congo,Mali,1972,3,2,5
Égypte,Ouganda,1974,2,1,3
Zambie,Côte d'Ivoire,1974,1,0,1
Égypte,Zambie,1974,3,1,4
Côte d'Ivoire,Ouganda,1974,2,2,4
Égypte,Côte d'Ivoire,1974,2,0,2
Zambie,Ouganda,1974,1,0,1
Zaïre,Guinée,1974,2,1,3
Congo,Maurice,1974,2,0,2
Guinée,Maurice,1974,2,1,3
Congo,Zaïre,1974,2,1,3
Guinée,Congo,1974,1,1,2
Zaïre,Maurice,1974,4,1,5
Égypte,Zaïre,1974,2,3,5
Congo,Zambie,1974,2,4,6
Égypte,Congo,1974,4,0,4
Zaïre,Zambie,1974,2,2,4
Zaïre,Zambie,1974,2,0,2
Éthiopie,Ouganda,1976,2,0,2
Égypte,Guinée,1976,1,1,2
Égypte,Ouganda,1976,2,1,3
Éthiopie,Guinée,1976,1,2,3
Guinée,Ouganda,1976,2,1,3
Éthiopie,Égypte,1976,1,1,2
Nigeria,Zaïre,1976,4,2,6
Maroc,Soudan,1976,2,2,4
Nigeria,Soudan,1976,1,0,1
Maroc,Zaïre,1976,1,0,1
Maroc,Nigeria,1976,3,1,4
Zaïre,Soudan,1976,1,1,2
Guinée,Nigeria,1976,1,1,2
Maroc,Égypte,1976,2,1,3
Maroc,Nigeria,1976,2,1,3
Guinée,Égypte,1976,4,2,6
Nigeria,Égypte,1976,3,2,5
Guinée,Maroc,1976,1,1,2
Ghana,Zambie,1978,2,1,3
Nigeria,Haute-Volta,1978,4,2,6
Zambie,Haute-Volta,1978,2,0,2
Nigeria,Ghana,1978,1,1,2
Zambie,Nigeria,1978,0,0,0
Ghana,Haute-Volta,1978,3,0,3
Maroc,Tunisie,1978,1,1,2
Ouganda,Congo,1978,3,1,4
Tunisie,Ouganda,1978,3,1,4
Maroc,Congo,1978,1,0,1
Congo,Tunisie,1978,0,0,0
Ouganda,Maroc,1978,3,0,3
Ghana,Tunisie,1978,1,0,1
Ouganda,Nigeria,1978,2,1,3
Nigeria,Tunisie,1978,2,0,2
Ghana,Ouganda,1978,2,0,2
Nigeria,Tanzanie,1980,3,1,4
Égypte,Côte d'Ivoire,1980,2,1,3
Égypte,Tanzanie,1980,2,1,3
Nigeria,Côte d'Ivoire,1980,0,0,0
Côte d'Ivoire,Tanzanie,1980,1,1,2
Nigeria,Égypte,1980,1,0,1
Ghana,Algérie,1980,0,0,0
Maroc,Guinée,1980,1,1,2
Algérie,Maroc,1980,1,0,1
Ghana,Guinée,1980,1,0,1
Algérie,Guinée,1980,3,2,5
Maroc,Ghana,1980,1,0,1
Nigeria,Maroc,1980,1,0,1
Algérie,Égypte,1980,2,2,4
Maroc,Égypte,1980,2,0,2
Nigeria,Algérie,1980,3,0,3
Libye,Ghana,1982,2,2,4
Cameroun,Tunisie,1982,1,1,2
Cameroun,Ghana,1982,0,0,0
Libye,Tunisie,1982,2,0,2
Ghana,Tunisie,1982,1,0,1
Libye,Cameroun,1982,0,0,0
Nigeria,Éthiopie,1982,3,0,3
Algérie,Zambie,1982,1,0,1
Zambie,Éthiopie,1982,1,0,1
Algérie,Nigeria,1982,2,1,3
Algérie,Éthiopie,1982,0,0,0
Zambie,Nigeria,1982,3,0,3
Ghana,Algérie,1982,3,2,5
Libye,Zambie,1982,2,1,3
